TImp: 19-04-2020 21:44:23,S-a creat directorul D in /
TImp: 19-04-2020 21:44:23,S-a creat directorul E in /
TImp: 19-04-2020 21:44:23,S-a creat directorul F in D
TImp: 19-04-2020 21:44:23,S-a creat fisierul G in D
TImp: 19-04-2020 21:44:23,S-a creat fisierul H in D
TImp: 19-04-2020 21:44:30,S-a adaugat userul A3
TImp: 19-04-2020 21:44:35,S-a adaugat fisierul C
TImp: 19-04-2020 21:44:41,S-a mutal userul A3 in grupul C
TImp: 19-04-2020 21:44:48,S-a creat directorul X in /
TImp: 19-04-2020 21:45:13,S-a afisat grupurile 
TImp: 19-04-2020 21:50:58,S-a creat directorul D in /
TImp: 19-04-2020 21:50:58,S-a creat directorul E in /
TImp: 19-04-2020 21:50:58,S-a creat directorul F in D
TImp: 19-04-2020 21:50:58,S-a creat fisierul G in D
TImp: 19-04-2020 21:50:58,S-a creat fisierul H in D
TImp: 19-04-2020 21:51:30,S-a adaugat userul A3
TImp: 19-04-2020 21:51:35,S-a adaugat fisierul C
TImp: 19-04-2020 21:51:39,S-a mutal userul A3 in grupul C
